Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
158900,14,-8.9,5.697344241661423,-8.031429,104
159000,4,-9.4,5.696842767295598,-8.031438,104
159100,4,-10.4,5.697077309868008,-8.031225,104
159200,13,-9.45,5.697927135678392,-8.030837,104
159300,4,-11.5,5.69812303829253,-8.030514,104
159400,4,-9.05,5.697892095357591,-8.030305,104
159500,1,-9.45,5.698062695924765,-8.029959,104
159600,1,-9.9,5.697901002506265,-8.029702,104
159700,2,-9.9,5.69759549154665,-8.029804,104
159800,4,-9.9,5.69680225281602,-8.030114,104
159900,9,-10.45,5.697091932457786,-8.029768,104
160000,4,-10.45,5.6968375,-8.029539,104
160100,14,-9.9,5.696864459712679,-8.029249,104
160200,3,-10.4,5.696666666666666,-8.028989,104
160300,16,-9.4,5.696325639426076,-8.029053,104
160400,4,-9.8,5.696508728179551,-8.029032,104
160500,3,-10.45,5.697071651090343,-8.028956,104
160600,4,-10.4,5.697328767123287,-8.02884,104
160700,4,-10.4,5.697411325451151,-8.028489,104
160800,4,-10.4,5.697506218905473,-8.028288,104
160900,6,-11.4,5.697016780609074,-8.028214,104
161000,4,-10.4,5.697167701863354,-8.027998,104
161100,4,-10.4,5.696530105524519,-8.0282135,104
161200,14,-7.9,5.697028535980149,-8.028004,104
161300,4,-9.9,5.696639801611903,-8.027883,104
161400,4,-10.4,5.697397769516729,-8.027783,104
161500,4,-11.5,5.697139318885449,-8.027625,104
161600,1,-9.95,5.697685643564356,-8.02724,104
161700,3,-10.45,5.697625231910946,-8.027138,104
161800,41,-7.45,5.697651421508034,-8.02716,104
161900,2,-10.4,5.697418159357628,-8.026771,104
162000,4,-10.4,5.697753086419753,-8.026472,104
162100,4,-9.4,5.697933374460209,-8.026064,104
162200,6,-10.9,5.697521578298397,-8.026164,104
162300,2,-9.05,5.696987060998151,-8.026229,104
162400,4,-9.9,5.697370689655172,-8.026173,104
162500,2,-9.65,5.698775384615384,-8.026115,104
162600,4,-10.4,5.698653136531365,-8.026107,104
162700,4,-10.9,5.698500307314075,-8.026004,104
162800,4,-10.7,5.698691646191646,-8.025967,104
162900,4,-9.9,5.698502148557397,-8.026029,104
163000,4,-9.45,5.698490797546012,-8.025662,104
163100,4,-10.45,5.697792765174739,-8.025689,104
163200,6,-9.9,5.697285539215686,-8.025613,104
163300,3,-9.95,5.6972565829761175,-8.025374,104
163400,4,-9.9,5.698090575275398,-8.025182,104
163500,3,-10.4,5.69788379204893,-8.024957,104
163600,4,-10.6,5.6980745721271395,-8.025071,104
163700,14,-9.4,5.698216249236408,-8.024657,104
163800,14,-8.45,5.698021978021978,-8.024608,104
163900,1,-9.9,5.698126906650397,-8.024411,104
164000,2,-9.4,5.6981219512195125,-8.02431,104
164100,4,-10.4,5.69782449725777,-8.024277,104
164200,4,-11.0,5.697904993909866,-8.024238,104
164300,4,-10.7,5.697918441874619,-8.024028,104
164400,14,-9.9,5.698187347931873,-8.0242,104
164500,14,-8.4,5.697933130699088,-8.024003,104
164600,16,-8.9,5.698341433778858,-8.024039,104
164700,4,-10.4,5.698257437765634,-8.023832,104
164800,14,-8.9,5.698458737864078,-8.023627,104
164900,14,-7.4,5.698459672528806,-8.02373,104
165000,4,-10.4,5.698745454545454,-8.023562,104
165100,1,-9.9,5.699254996971533,-8.0234165,104
165200,4,-11.0,5.699424939467312,-8.023146,104
165300,14,-8.4,5.699624924379916,-8.023066,104
165400,4,-10.9,5.6996372430471585,-8.022932,104
165500,2,-10.4,5.699383685800604,-8.022935,104
165600,2,-10.4,5.699390096618357,-8.0224495,104
165700,4,-10.55,5.6987929993965,-8.022421,104
165800,2,-10.95,5.6986610373944515,-8.022198,104
165900,4,-10.9,5.698324291742013,-8.0223675,104
166000,3,-9.9,5.698957831325301,-8.0224905,104
166100,6,-10.4,5.698633353401565,-8.022309,104
166200,4,-10.4,5.69806257521059,-8.022018,104
166300,44,-7.9,5.698286229705352,-8.021856,104
166400,4,-10.9,5.698004807692308,-8.021826,104
166500,4,-11.4,5.69812012012012,-8.021595,104
166600,6,-9.55,5.697713085234094,-8.021597,104
166700,9,-10.5,5.697804439112177,-8.021566,104
166800,4,-9.75,5.697565947242206,-8.021483,104
166900,6,-10.5,5.697417615338526,-8.021393,104
167000,3,-10.4,5.6972874251497005,-8.021307,104
167100,2,-10.4,5.6970556552962295,-8.021018,104
167200,14,-7.9,5.6966327751196175,-8.021002,104
167300,4,-10.4,5.696264196054991,-8.020967,104
167400,14,-7.9,5.696481481481482,-8.021131,104
167500,14,-8.4,5.696316417910448,-8.02119,104
167600,3,-10.4,5.6966945107398566,-8.021206,104
167700,4,-10.9,5.696612999403697,-8.021196,104
167800,4,-10.4,5.697193087008343,-8.021041,104
167900,2,-10.4,5.696384752829065,-8.020959,104
168000,4,-9.95,5.696446428571429,-8.02099,104
168100,3,-10.4,5.696180844735276,-8.020728,104
168200,4,-11.2,5.695975029726516,-8.02069,104
168300,4,-10.4,5.696096256684492,-8.020419,104
168400,3,-9.9,5.695492874109264,-8.020122,104
168500,4,-9.9,5.695258160237389,-8.020107,104
168600,1,-10.4,5.6952075919335705,-8.019893,104
168700,4,-10.4,5.695417901600474,-8.019772,104
168800,4,-10.4,5.695266587677725,-8.019639,104
168900,4,-9.9,5.695370041444642,-8.019445,104
169000,3,-9.9,5.69587573964497,-8.019238,104
169100,3,-10.45,5.695955056179775,-8.018988,104
169200,3,-9.95,5.696312056737589,-8.018815,104
169300,4,-10.95,5.69629651506202,-8.018567,104
169400,4,-9.9,5.695920897284534,-8.018146,104
169500,4,-10.1,5.69647197640118,-8.018072,104
169600,4,-9.9,5.696603773584906,-8.017726,104
169700,4,-10.4,5.696953447259871,-8.017358,104
169800,2,-9.95,5.6967550058892815,-8.01709,104
169900,4,-11.0,5.696962919364332,-8.0169325,104
170000,14,-8.4,5.697035294117647,-8.016827,104
170100,2,-10.4,5.696731334509113,-8.016652,104
170200,19,-9.9,5.697450058754407,-8.016384,104
170300,2,-9.9,5.6967469172049325,-8.01627,104
170400,4,-10.95,5.696543427230047,-8.016186,104
170500,4,-9.9,5.697061583577713,-8.015901,104
